"id","bulan_laporan","bulan_penjualan","platform","negara","nama_label","nama_artis","judul_rilis","judul_track","upc","isrc","release_catalog_nb","jenis_rilis","jenis_penjualan","kuantitas","mata_uang","harga_unit","biaya_mekanis","pendapatan_kotor","tingkat_pembagian","pendapatan_bersih","source_file","created_at"
"1","2020-12-01","2020-12-01","YouTube Official Content","Indonesia","Poetra Studio","Rina Okhtafiani","Indonesia Lebih Baik","Indonesia Lebih Baik","3616551568714","DG-A05-20-82038",,"Music Release","Stream","1","EUR","0.000259000000000","0.000000000000000","0.000259397105000","0.70000","0.000181577974000","2250037_859485_20201201_20201231.csv","2026-03-16 18:13:47"
"2","2020-12-01","2020-12-01","YouTube Official Content","Indonesia","Poetra Studio","Sofia Yani, Ferry Rap","Bising",,"3616551570076",,,"Music Release","Stream","2","EUR","0.003163000000000","0.000000000000000","0.006325422562000","0.70000","0.004427795793000","2250037_859485_20201201_20201231.csv","2026-03-16 18:13:47"
"3","2020-12-01","2020-12-01","YouTube Official Content","Australia","Cakadidi Production","Cakadidi Production","Sejuta Wajah","Sejuta Wajah","3616551569827","DG-A06-20-09840",,"Music Release","Stream","1","EUR","0.029554000000000","0.000000000000000","0.029553547134000","0.70000","0.020687482994000","2250037_859485_20201201_20201231.csv","2026-03-16 18:13:47"
"4","2020-12-01","2020-12-01","YouTube Official Content","Indonesia","Poetra Studio","Ining Ahmad","Penjelasan","Penjelasan","3616551569933","DG-A06-20-00911",,"Music Release","Stream","3","EUR","0.000125000000000","0.000000000000000","0.000374595198000","0.70000","0.000262216639000","2250037_859485_20201201_20201231.csv","2026-03-16 18:13:47"
"5","2020-12-01","2020-12-01","YouTube Official Content","Indonesia","Cakadidi Production","Cakadidi Production","Sejuta Wajah","Sejuta Wajah","3616551569827","DG-A06-20-09840",,"Music Release","Stream","83","EUR","0.000648000000000","0.000000000000000","0.053773342004000","0.70000","0.037641339402000","2250037_859485_20201201_20201231.csv","2026-03-16 18:13:47"
"6","2020-12-01","2020-12-01","YouTube Official Content","Indonesia","d'Evolution","d'Evolution","Ungkapan Hati","Ungkapan Hati","3616551745726","DG-A06-20-45188",,"Music Release","Stream","2","EUR","0.001657000000000","0.000000000000000","0.003314966103000","0.70000","0.002320476272000","2250037_859485_20201201_20201231.csv","2026-03-16 18:13:47"
"7","2020-12-01","2020-12-01","YouTube Official Content","Indonesia","MaDa Records","OCHD","The Day Were You Born","The Day Were You Born","3616551675658","DG-A06-20-34627",,"Music Release","Stream","5","EUR","0.000353000000000","0.000000000000000","0.001766639287000","0.70000","0.001236647501000","2250037_859485_20201201_20201231.csv","2026-03-16 18:13:47"
"8","2020-12-01","2020-12-01","YouTube Official Content","Indonesia","Poetra Studio","Sofia Yani, Ferry Rap","Bising","Bising","3616551570076","DG-A06-20-20136",,"Music Release","Stream","38","EUR","0.000487000000000","0.000000000000000","0.018507419584000","0.70000","0.012955193709000","2250037_859485_20201201_20201231.csv","2026-03-16 18:13:47"
"9","2020-12-01","2020-12-01","YouTube Official Content","Saudi Arabia","d'Evolution","d'Evolution","Ungkapan Hati",,"3616551745726",,,"Music Release","Stream","1","EUR","0.004629000000000","0.000000000000000","0.004628868828000","0.70000","0.003240208180000","2250037_859485_20201201_20201231.csv","2026-03-16 18:13:47"
"10","2020-12-01","2020-12-01","YouTube Official Content","Indonesia","Poetra Studio","Bagus Pribadi, Onong Isma Merry, Eka Poetra","Belajar Kebiasaan Baru","Belajar Kebiasaan Baru","3616551569650","DG-A06-20-12390",,"Music Release","Stream","1","EUR","0.000294000000000","0.000000000000000","0.000294037091000","0.70000","0.000205825964000","2250037_859485_20201201_20201231.csv","2026-03-16 18:13:47"
