Bulan Laporan;ISRC;UPC;Nama Label;Nama Artis;Judul Rilis;Judul Track;Platform;Negara;Kuantias;Pendapatan Bersih
2024-01;IDBIG00000000;3690000000000;BigCsv Label 1;Artist 0;Album X;Track 0;Spotify;ID;3027;4.4124
2024-02;IDBIG00000001;3690000000001;BigCsv Label 2;Artist 1;Album X;Track 1;Spotify;ID;1987;1.3162
2024-03;IDBIG00000002;3690000000002;BigCsv Label 3;Artist 2;Album X;Track 2;Spotify;ID;1616;4.6875
2024-04;IDBIG00000003;3690000000003;BigCsv Label 4;Artist 3;Album X;Track 3;Spotify;ID;4108;3.4335
2024-05;IDBIG00000004;3690000000004;BigCsv Label 5;Artist 4;Album X;Track 4;Spotify;ID;811;1.9268
2024-06;IDBIG00000005;3690000000005;BigCsv Label 6;Artist 5;Album X;Track 5;Spotify;ID;505;2.6622
2024-07;IDBIG00000006;3690000000006;BigCsv Label 7;Artist 6;Album X;Track 6;Spotify;ID;301;4.8403
2024-08;IDBIG00000007;3690000000007;BigCsv Label 8;Artist 7;Album X;Track 7;Spotify;ID;351;3.7433
2024-09;IDBIG00000008;3690000000008;BigCsv Label 9;Artist 8;Album X;Track 8;Spotify;ID;880;2.4733
2024-10;IDBIG00000009;3690000000009;BigCsv Label 10;Artist 9;Album X;Track 9;Spotify;ID;1343;0.3194
2024-11;IDBIG00000010;3690000000010;BigCsv Label 11;Artist 10;Album X;Track 10;Spotify;ID;2820;4.2525
2024-12;IDBIG00000011;3690000000011;BigCsv Label 12;Artist 11;Album X;Track 11;Spotify;ID;3179;3.3645
2024-01;IDBIG00000012;3690000000012;BigCsv Label 13;Artist 12;Album X;Track 12;Spotify;ID;2464;3.1997
2024-02;IDBIG00000013;3690000000013;BigCsv Label 14;Artist 13;Album X;Track 13;Spotify;ID;3726;4.9104
2024-03;IDBIG00000014;3690000000014;BigCsv Label 15;Artist 14;Album X;Track 14;Spotify;ID;1710;3.5573
2024-04;IDBIG00000015;3690000000015;BigCsv Label 16;Artist 15;Album X;Track 15;Spotify;ID;335;4.6736
2024-05;IDBIG00000016;3690000000016;BigCsv Label 17;Artist 16;Album X;Track 16;Spotify;ID;1451;4.6924
