ISRC,UPC,Track title,Artist,Release title,Label,Platform,Country,Quantity,Net revenue in EUR,Reporting month
TEST00000000,0000001000000,Track 0,Artist 0,Release 0,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000001,0000001000001,Track 1,Artist 1,Release 1,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000002,0000001000002,Track 2,Artist 2,Release 2,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000003,0000001000003,Track 3,Artist 3,Release 3,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000004,0000001000004,Track 4,Artist 4,Release 4,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000005,0000001000005,Track 5,Artist 5,Release 5,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000006,0000001000006,Track 6,Artist 6,Release 6,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000007,0000001000007,Track 7,Artist 7,Release 7,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000008,0000001000008,Track 8,Artist 8,Release 8,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000009,0000001000009,Track 9,Artist 9,Release 9,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000010,0000001000010,Track 10,Artist 10,Release 10,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000011,0000001000011,Track 11,Artist 11,Release 11,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000012,0000001000012,Track 12,Artist 12,Release 12,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000013,0000001000013,Track 13,Artist 13,Release 13,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000014,0000001000014,Track 14,Artist 14,Release 14,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000015,0000001000015,Track 15,Artist 15,Release 15,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000016,0000001000016,Track 16,Artist 16,Release 16,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000017,0000001000017,Track 17,Artist 17,Release 17,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000018,0000001000018,Track 18,Artist 18,Release 18,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000019,0000001000019,Track 19,Artist 19,Release 19,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000020,0000001000020,Track 20,Artist 20,Release 20,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000021,0000001000021,Track 21,Artist 21,Release 21,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000022,0000001000022,Track 22,Artist 22,Release 22,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000023,0000001000023,Track 23,Artist 23,Release 23,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000024,0000001000024,Track 24,Artist 24,Release 24,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000025,0000001000025,Track 25,Artist 25,Release 25,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
