Bulan laporan;Bulan Penjualan;Platform;Negara;Nama Label;Nama Artis;Judul rilis;Judul track;UPC;ISRC;Referensi Katalog Rilis;Jenis Langganan Streaming;Jenis rilis;Jenis penjualan;Kuantias;Mata Uang Pembayaran Klien;Harga Unit;Biaya Mekanis;Pendapatan Kotor;Tingkat pembagian klien;Pendapatan Bersih
"2025/05/01";"2025/05/01";"YouTube Official Content";"Indonesia";"Manawa Music";"DECENT";"Mamang";"Mamang";"3617661494481";"DG-A08-24-65457";"";"Freemium / Ad Supported";"Music Release";"Stream";1;"EUR";"0,000407547753";"0,000000";"0,000407547753";"0,70000000";"0,000285283427"
"2025/05/01";"2024/12/01";"Facebook / Instagram";"Worldwide";"Manawa Music";"DECENT";"Mamang";"Mamang";"3617661494481";"DG-A08-24-65457";"";"Freemium / Ad Supported";"Music Release";"Creation";13;"EUR";"0,000458839887";"0,000000";"0,005964918526";"0,70000000";"0,004175442968"
"2025/05/01";"2025/03/01";"Facebook / Instagram";"Worldwide";"Manawa Music";"DECENT";"Mamang";"Mamang";"3617661494481";"DG-A08-24-65457";"";"Freemium / Ad Supported";"Music Release";"Creation";7;"EUR";"0,000468525072";"0,000000";"0,003279675506";"0,70000000";"0,002295772854"
"2025/05/01";"2025/01/01";"Facebook / Instagram";"Worldwide";"Manawa Music";"DECENT";"Mamang";"Mamang";"3617661494481";"DG-A08-24-65457";"";"Freemium / Ad Supported";"Music Release";"Creation";13;"EUR";"0,000501457879";"0,000000";"0,006518952427";"0,70000000";"0,004563266699"
"2025/05/01";"2025/04/01";"Tencent Kugou";"China mainland";"Manawa Music";"DECENT";"Mamang";"Mamang";"3617661494481";"DG-A08-24-65457";"";"Premium";"Music Release";"Stream";1;"EUR";"0,000699380762";"0,000000";"0,000699380762";"0,70000000";"0,000489566533"
"2025/05/01";"2025/04/01";"Amazon Music Streaming";"India";"Manawa Music";"DECENT";"Mamang";"Mamang";"3617661494481";"DG-A08-24-65457";"";"Premium";"Music Release";"Stream";1;"EUR";"0,000658678090";"0,000000";"0,000658678090";"0,70000000";"0,000461074663"
"2025/05/01";"2025/04/01";"Facebook / Instagram";"Indonesia";"Manawa Music";"DECENT";"Angen";"Angen";"3617381410433";"DG-A0Q-23-45506";"";"Freemium / Ad Supported";"Music Release";"Stream";7;"EUR";"0,000010175000";"0,000000";"0,000071225000";"0,70000000";"0,000049857500"
"2025/05/01";"2025/04/01";"Facebook / Instagram";"Indonesia";"Manawa Music";"DECENT";"Angen";"Angen";"3617381410433";"DG-A0Q-23-45506";"";"Freemium / Ad Supported";"Music Release";"Stream";35;"EUR";"0,000010175000";"0,000000";"0,000356125000";"0,70000000";"0,000249287500"
"2025/05/01";"2025/02/01";"Facebook / Instagram";"India";"Manawa Music";"DECENT";"Angen";"Angen";"3617381410433";"DG-A0Q-23-45506";"";"Freemium / Ad Supported";"Music Release";"Creation";6;"EUR";"0,000076555368";"0,000000";"0,000459332206";"0,70000000";"0,000321532544"
"2025/05/01";"2025/04/01";"Amazon Music Streaming";"United kingdom";"Manawa Music";"DECENT";"Angen";"Angen";"3617381410433";"DG-A0Q-23-45506";"";"Premium";"Music Release";"Stream";1;"EUR";"0,002032348212";"0,000000";"0,002032348212";"0,70000000";"0,001422643748"
"2025/05/01";"2025/03/01";"Facebook / Instagram";"Worldwide";"Manawa Music";"Koesworo";"Sendiri Tanpamu";"Sendiri Tanpamu";"3617661493972";"DG-A08-24-65413";"";"Freemium / Ad Supported";"Music Release";"Creation";7;"EUR";"0,000468525072";"0,000000";"0,003279675506";"0,70000000";"0,002295772854"
"2025/05/01";"2025/05/01";"YouTube Official Content";"Indonesia";"Manawa Music";"Koesworo";"Sendiri Tanpamu";"Sendiri Tanpamu";"3617661493972";"DG-A08-24-65413";"";"Freemium / Ad Supported";"Music Release";"Stream";2;"EUR";"0,002146129128";"0,000000";"0,004292258255";"0,70000000";"0,003004580779"
